id,dur,proto,sbytes,dbytes,label
1,0.000011,udp,496,0,0
2,0.000008,udp,1762,0,0
3,0.000005,udp,1068,0,0
4,0.000006,udp,900,0,0
5,0.00001,udp,2126,0,0
6,0.000003,udp,784,0,0
7,0.000006,udp,1960,0,0
8,0.000028,udp,1384,0,0
9,0,arp,46,0,0
10,0,arp,46,0,0
11,0,arp,46,0,0
12,0,arp,46,0,0
13,0.000004,udp,1454,0,0
14,0.000007,udp,2062,0,0
15,0.000011,udp,2040,0,0
16,0.000004,udp,1052,0,0
17,0.000003,udp,314,0,0
18,0.00001,udp,1774,0,0
19,0.000002,udp,1568,0,0
20,0.000004,udp,2054,0,0
21,0.00001,udp,2170,0,0
22,0.000009,udp,202,0,0
23,0.00001,udp,1334,0,0
24,0.000005,udp,2058,0,0
25,0.000003,udp,286,0,0
26,0.000007,udp,1500,0,0
27,0.000006,udp,902,0,0
28,0.000002,udp,1626,0,0
29,0.000007,udp,364,0,0
30,1.434166,tcp,530,268,0
31,0.000007,udp,730,0,0
32,1.924287,tcp,530,354,0
33,2.773779,tcp,7954,354,0
34,0.00001,udp,794,0,0
35,1.465041,tcp,2516,354,0
36,0.983874,tcp,816,1172,0
37,0.714182,tcp,534,268,0
38,59.995674,arp,92,0,0
39,59.995678,arp,92,0,0
40,59.995674,arp,92,0,0
41,1.535254,tcp,826,1266,0
42,59.995678,arp,92,0,0
43,0.757295,tcp,534,268,0
44,0.759306,tcp,534,354,0
45,1.294036,tcp,2516,354,0
46,1.059359,tcp,830,1134,0
47,0.624048,tcp,534,268,0
48,1.190292,tcp,2516,354,0
49,0.999472,tcp,534,268,0
50,0.990548,tcp,804,1414,0
51,0.655618,tcp,534,268,0
52,0.810167,tcp,2516,354,0
53,14.846565,tcp,990,0,0
54,14.846565,tcp,990,0,0
55,14.846565,tcp,990,0,0
56,1.588788,tcp,534,268,0
57,1.151373,tcp,2516,354,0
58,14.355273,tcp,900,0,0
59,14.355273,tcp,900,0,0
60,14.355273,tcp,900,0,0
61,15.53235,tcp,900,0,0
62,15.590977,tcp,900,0,0
63,15.53235,tcp,900,0,0
64,15.53235,tcp,900,0,0
65,15.590977,tcp,900,0,0
66,15.590977,tcp,900,0,0
67,1.074494,tcp,2516,354,0
68,15.979696,tcp,810,0,0
69,15.226356,tcp,810,0,0
70,15.979696,tcp,810,0,0
71,15.226356,tcp,810,0,0
72,15.979696,tcp,810,0,0
73,1.303518,tcp,898,1120,0
74,15.226356,tcp,810,0,0
75,15.374568,tcp,720,0,0
76,15.374568,tcp,720,0,0
77,15.374568,tcp,720,0,0
78,0.582389,tcp,534,268,0
79,16.448053,tcp,630,0,0
80,16.76671,tcp,630,0,0
